p,lambda,lrb_lambda,rb_p,p_raw,lrb_fidelity,lrb_error_rate,rb_fidelity,rb_error_rate,lrb_f,rb_f,lrb_a,rb_a,lrb_n_points,rb_n_points,lrb_error_rate_std_boot,lrb_error_rate_ci_low,lrb_error_rate_ci_high,rb_error_rate_std_boot,rb_error_rate_ci_low,rb_error_rate_ci_high
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,9,9,1.2936478625295062e-08,0.0,3.333333298272123e-08,0.261035429046315,6.66598555283837e-06,0.6666665916666674
0.0005,0.0005,0.0005,0.0005,0.0001,0.9999975035800249,2.4964199750732163e-06,0.9996236447897635,0.00037635521023648977,0.9999962553700374,0.9994354671846454,0.0,0.0,9,9,1.8511019919901026e-07,2.288384977178204e-06,2.647839973501931e-06,0.002234184342542976,0.00039890136349898683,0.005365370711146356
0.001,0.001,0.001,0.001,0.0002,0.9999913596434197,8.640356580325026e-06,0.99925901419421,0.0007409858057899621,0.9999870394651296,0.9988885212913149,0.0,0.0,9,9,2.656781771465247e-07,8.335687416649584e-06,8.869746577988558e-06,0.0018750850332666684,0.000346756703652411,0.004416409093435889
0.0025,0.0025,0.0025,0.0025,0.0005,0.9999419064350977,5.809356490227291e-05,0.9981239786187602,0.0018760213812397675,0.9999128596526464,0.9971859679281404,0.0,0.0,9,9,5.681385653324112e-07,5.7539430091346766e-05,5.868094049654715e-05,0.0015245233552020744,0.0007828465937715156,0.003994834651785016
0.005,0.005,0.005,0.005,0.001,0.9997598322630266,0.00024016773697344007,0.996243365884233,0.003756634115766988,0.99963974839454,0.9943650488263496,0.0,0.0,9,9,1.6432924456571741e-06,0.0002386754325881535,0.00024190309558091982,0.0015693028834688736,0.003339468406605306,0.006554001454459999
0.01,0.01,0.01,0.01,0.002,0.9987960668120394,0.0012039331879606374,0.9924828187418385,0.007517181258161476,0.998194100218059,0.9887242281127577,0.0,0.0,9,9,5.598140335115375e-06,0.0011981803880182218,0.0012098843847011941,0.0013297356417776034,0.00747453272525469,0.010205703097942966
0.025,0.025,0.025,0.025,0.005,0.9895588001044121,0.010441199895587894,0.9814048428526183,0.01859515714738169,0.984338200156618,0.9721072642789274,0.0,0.0,9,9,4.271241181845335e-05,0.010395726776042795,0.010482471895175371,0.0012870598394538707,0.01851297773487018,0.021198904108010855
0.0375,0.0375,0.0375,0.0375,0.0075,0.9696871123031289,0.030312887696871127,0.9723207136101261,0.027679286389873936,0.9545306684546933,0.9584810704151893,0.0,0.0,9,9,9.423059034006432e-05,0.030219069297809285,0.030410275695897382,0.0013042538629631872,0.027378199086217983,0.029734878315984523
0.05,0.05,0.05,0.05,0.01,0.9279120007208799,0.07208799927912013,0.963273267033934,0.03672673296606599,0.8918680010813198,0.944909900550901,0.0,0.0,9,9,0.00017032110985378644,0.07192746594739197,0.07224718861086164,0.0012701954172697524,0.03598509340014912,0.03850534958827994
0.0625,0.0625,0.0625,0.0625,0.0125,0.8735765345975679,0.1264234654024321,0.9543324564566754,0.045667543543324585,0.810364801896352,0.9314986846850132,0.0,0.0,9,9,0.0002877447258511395,0.1261503134051636,0.12672176939944907,0.0012061227568973191,0.04535749074642515,0.0477720516822796
0.075,0.075,0.075,0.075,0.015,0.835304534980288,0.164695465019712,0.9457106885428931,0.054289311457106915,0.752956802470432,0.9185660328143397,0.0,0.0,9,9,0.0004095463507680738,0.1642755823572441,0.16509926234900732,0.0012595917296890247,0.05350041290499596,0.05605101170615654
0.1,0.1,0.1,0.1,0.02,0.733236269334304,0.26676373066569603,0.9287941340453919,0.0712058659546081,0.599854404001456,0.8931912010680879,0.0,0.0,9,9,0.0011037891720547185,0.2657851066754823,0.26792654665406795,0.0012011985217666784,0.07084772195818945,0.07321392993452737
0.15,0.15,0.15,0.15,0.03,0.5947856040521439,0.40521439594785613,0.8964725343686079,0.10352746563139215,0.3921784060782159,0.844708801552912,0.0,0.0,9,9,0.002560471424542553,0.4027227693061057,0.40780195858864715,0.0012923881797450825,0.10372055362946125,0.10629047360376195
0.2,0.2,0.2,0.2,0.04,0.504356804956432,0.495643195043568,0.867655467990112,0.13234453200988805,0.25653520743464797,0.801483201985168,0.0,0.0,9,9,0.005859667628000221,0.4901646244316871,0.5016933496497331,0.0014388556661589402,0.13615120930515456,0.13891553994417793
0.25,0.25,0.25,0.25,0.05,0.44493067221736,0.55506932778264,0.8407850682588159,0.15921493174118406,0.16739600832603996,0.761177602388224,0.0,0.0,9,9,0.00539483191096016,0.5493915251727514,0.5600139890665268,0.001570909608903045,0.16875016364583176,0.17182282494843842
