p,lambda,lrb_lambda,rb_p,p_raw,lrb_fidelity,lrb_error_rate,rb_fidelity,rb_error_rate,lrb_f,rb_f,lrb_a,rb_a,lrb_n_points,rb_n_points,lrb_error_rate_std_boot,lrb_error_rate_ci_low,lrb_error_rate_ci_high,rb_error_rate_std_boot,rb_error_rate_ci_low,rb_error_rate_ci_high
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,9,9,1.2651046735179957e-08,0.0,0.0,0.261035429046315,6.66598555283837e-06,0.6666665916666674
0.0005,0.0005,0.0005,0.0005,0.0001,0.9999973870000262,2.612999973838903e-06,0.9996236447897635,0.00037635521023648977,0.9999960805000392,0.9994354671846454,0.0,0.0,9,9,1.9428567203012952e-07,2.4617474753130253e-06,2.8220399718170697e-06,0.002234184342542976,0.00039890136349898683,0.005365370711146356
0.001,0.001,0.001,0.001,0.0002,0.999990899002591,9.100997409028366e-06,0.99925901419421,0.0007409858057899621,0.9999863485038865,0.9988885212913149,0.0,0.0,9,9,2.7208518352356477e-07,8.831514911711302e-06,9.372509906291349e-06,0.0018750850332666684,0.000346756703652411,0.004416409093435889
0.0025,0.0025,0.0025,0.0025,0.0005,0.9999379819000201,6.201809997985475e-05,0.9981239786187602,0.0018760213812397675,0.9999069728500303,0.9971859679281404,0.0,0.0,9,9,5.145461156231995e-07,6.151241991825263e-05,6.253962862456941e-05,0.0015245233552020744,0.0007828465937715156,0.003994834651785016
0.005,0.005,0.005,0.005,0.001,0.9997314215782858,0.0002685784217142384,0.996243365884233,0.003756634115766988,0.9995971323674286,0.9943650488263496,0.0,0.0,9,9,1.5403211085862826e-06,0.00026693780613074036,0.00027003229489963587,0.0015693028834688736,0.003339468406605306,0.006554001454459999
0.01,0.01,0.01,0.01,0.002,0.998657584813424,0.0013424151865759626,0.9924828187418385,0.007517181258161476,0.9979863772201362,0.9887242281127577,0.0,0.0,9,9,5.129090853771087e-06,0.0013367269866327858,0.001347405298526021,0.0013297356417776034,0.00747453272525469,0.010205703097942966
0.025,0.025,0.025,0.025,0.005,0.9880684694526486,0.01193153054735141,0.9814048428526183,0.01859515714738169,0.9821027041789729,0.9721072642789274,0.0,0.0,9,9,4.2368789004457694e-05,0.011890258867764078,0.01197369588026298,0.0012870598394538707,0.01851297773487018,0.021198904108010855
0.0375,0.0375,0.0375,0.0375,0.0075,0.9655998043440018,0.03440019565599817,0.9723207136101261,0.027679286389873936,0.9483997065160029,0.9584810704151893,0.0,0.0,9,9,9.438928144995646e-05,0.03430076317699237,0.03449358429506411,0.0013042538629631872,0.027378199086217983,0.029734878315984523
0.05,0.05,0.05,0.05,0.01,0.92596266740704,0.07403733259295997,0.963273267033934,0.03672673296606599,0.8889440011105599,0.944909900550901,0.0,0.0,9,9,0.00016535853319816972,0.07386986592796807,0.07421555125784449,0.0012701954172697524,0.03598509340014912,0.03850534958827994
0.0625,0.0625,0.0625,0.0625,0.0125,0.8731973346013598,0.12680266539864016,0.9543324564566754,0.045667543543324585,0.8097960019020398,0.9314986846850132,0.0,0.0,9,9,0.0002864038209199397,0.12653264940134018,0.12710399872895994,0.0012061227568973191,0.04535749074642515,0.0477720516822796
0.075,0.075,0.075,0.075,0.015,0.83538133497952,0.16461866502047995,0.9457106885428931,0.054289311457106915,0.7530720024692801,0.9185660328143397,0.0,0.0,9,9,0.0004485539018746216,0.1641827183581729,0.16506933168264004,0.0012595917296890247,0.05350041290499596,0.05605101170615654
0.1,0.1,0.1,0.1,0.02,0.733261869334048,0.266738130665952,0.9287941340453919,0.0712058659546081,0.599892804001072,0.8931912010680879,0.0,0.0,9,9,0.0010753805959195966,0.26562719734372797,0.26785633865476993,0.0012011985217666784,0.07084772195818945,0.07321392993452737
0.15,0.15,0.15,0.15,0.03,0.5947856040521439,0.40521439594785613,0.8964725343686079,0.10352746563139215,0.3921784060782159,0.844708801552912,0.0,0.0,9,9,0.0023814990647072973,0.4027656493056768,0.40775095058915717,0.0012923881797450825,0.10372055362946125,0.10629047360376195
0.2,0.2,0.2,0.2,0.04,0.504356804956432,0.495643195043568,0.867655467990112,0.13234453200988805,0.25653520743464797,0.801483201985168,0.0,0.0,9,9,0.00574802045871552,0.49048741909512583,0.5016813603165197,0.0014388556661589402,0.13615120930515456,0.13891553994417793
0.25,0.25,0.25,0.25,0.05,0.44493067221736,0.55506932778264,0.8407850682588159,0.15921493174118406,0.16739600832603996,0.761177602388224,0.0,0.0,9,9,0.005337747128361744,0.5502980638303526,0.5602624583973753,0.001570909608903045,0.16875016364583176,0.17182282494843842
