check_num,p_index,p,p_raw,lrb_lambda,rb_p,lrb_f,lrb_fidelity,lrb_error_rate,lrb_a,lrb_b,lrb_chi2,lrb_n_points,lrb_error_rate_std_boot,lrb_error_rate_ci_low,lrb_error_rate_ci_high,rb_f,rb_fidelity,rb_error_rate,rb_a,rb_b,rb_chi2,rb_n_points,rb_error_rate_std_boot,rb_error_rate_ci_low,rb_error_rate_ci_high,lambda
1,10,0.075,0.015,0.075,0.075,0.9815746721842532,0.9877164481228355,0.012283551877164456,0.0,0.8692377046736032,0.72716736889331,4,0.00041916705700633105,0.011861737481382573,0.012704477952955267,0.9185660328143397,0.9457106885428931,0.054289311457106915,0.0,0.9999999996313111,0.03493862815281297,9,0.0012595917296890247,0.05350041290499596,0.05605101170615654,0.075
1,11,0.1,0.02,0.1,0.1,0.956510890434891,0.9710072602899272,0.028992739710072768,0.0,0.8170552682120625,0.026563856733989134,3,0.0009190051533105192,0.028137038438629733,0.029967377833659513,0.8931912010680879,0.9287941340453919,0.0712058659546081,0.0,0.9999999995891279,0.07181257318799888,9,0.0012011985217666784,0.07084772195818945,0.07321392993452737,0.1
1,12,0.15,0.03,0.15,0.15,0.8470696015293038,0.8980464010195358,0.10195359898046419,0.0,0.7023463269596909,1.617918649608552e-11,2,0.0038347972917140627,0.0981713483516198,0.10584930027484032,0.844708801552912,0.8964725343686079,0.10352746563139215,0.0,0.9999999995411423,0.13772101756178265,9,0.0012923881797450825,0.10372055362946125,0.10629047360376195,0.15
1,13,0.2,0.04,0.2,0.2,0.5963512040364879,0.730900802690992,0.269099197309008,0.0,0.5791005948394892,1.5840176773538434e-13,2,0.01648571133740698,0.2525868988074644,0.28639363980273025,0.801483201985168,0.867655467990112,0.13234453200988805,0.0,0.9999999994789539,0.8839571538680595,9,0.0014388556661589402,0.13615120930515456,0.13891553994417793,0.2
1,14,0.25,0.05,0.25,0.25,0.7768000022319999,0.8512000014879999,0.1487999985120001,0.0,0.457612254244072,2.9398279774206075e-13,2,0.020098697028336165,0.13084989735816768,0.1675831449908353,0.761177602388224,0.8407850682588159,0.15921493174118406,0.0,0.9999999997442425,4.352818761045253,9,0.001570909608903045,0.16875016364583176,0.17182282494843842,0.25
2,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,9,1.1437728818892065e-08,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,9,0.261035429046315,6.66598555283837e-06,0.6666665916666674,0.0
2,1,0.0005,0.0001,0.0005,0.0005,0.9999991415000086,0.9999994276666723,5.723333277307674e-07,0.0,0.9992617987772442,0.24301002660626092,9,1.826820819155998e-07,4.019999959581355e-07,7.743333255705309e-07,0.9994354671846454,0.9996236447897635,0.00037635521023648977,0.0,0.9999999999934934,0.14174297536775526,9,0.002234184342542976,0.00039890136349898683,0.005365370711146356,0.0005
2,2,0.001,0.0002,0.001,0.001,0.9999981640000184,0.9999987760000123,1.2239999876983987e-06,0.0,0.9985104439304819,0.06594407862542176,9,2.6395680434853054e-07,9.473333237863812e-07,1.461999985408191e-06,0.9988885212913149,0.99925901419421,0.0007409858057899621,0.0,0.9999999997189982,0.1120663133186339,9,0.0018750850332666684,0.000346756703652411,0.004416409093435889,0.001
2,3,0.0025,0.0005,0.0025,0.0025,0.9999873822813762,0.9999915881875842,8.411812415842768e-06,0.0,0.9962756708472154,0.4511505711428049,9,4.698808579660234e-07,7.918399920758823e-06,8.831514911711302e-06,0.9971859679281404,0.9981239786187602,0.0018760213812397675,0.0,1.0000000007363585,0.07613014816103914,9,0.0015245233552020744,0.0007828465937715156,0.003994834651785016,0.0025
2,4,0.005,0.001,0.005,0.005,0.9999495548295044,0.9999663698863364,3.363011366364077e-05,0.0,0.9924922426085458,0.29595247356115423,9,1.101342558909736e-06,3.256782867433472e-05,3.47597587774251e-05,0.9943650488263496,0.996243365884233,0.003756634115766988,0.0,0.9999999996862204,0.15173289466139842,9,0.0015693028834688736,0.003339468406605306,0.006554001454459999,0.005
2,5,0.01,0.002,0.01,0.01,0.9997821310621787,0.9998547540414524,0.0001452459585475907,0.0,0.9848170015097865,0.15264834998267895,9,2.858451187918827e-06,0.000142742633772599,0.0001481665585183478,0.9887242281127577,0.9924828187418385,0.007517181258161476,0.0,1.0000000001343021,0.16115886361862947,9,0.0013297356417776034,0.00747453272525469,0.010205703097942966,0.01
2,6,0.025,0.005,0.025,0.025,0.9983535238564647,0.9989023492376431,0.0010976507623569054,0.0,0.9607732493287388,0.5073432503318674,9,1.8703052656237593e-05,0.0010770855092291365,0.0011148374188515442,0.9721072642789274,0.9814048428526183,0.01859515714738169,0.0,0.9999999970627368,0.08246516504061516,9,0.0012870598394538707,0.01851297773487018,0.021198904108010855,0.025
2,7,0.0375,0.0075,0.0375,0.0375,0.9958524384414756,0.9972349589609838,0.002765041039016203,0.0,0.9395315221027337,0.2404323067996536,7,5.448687398153924e-05,0.0027086688795799896,0.0028207939685920146,0.9584810704151893,0.9723207136101261,0.027679286389873936,0.0,0.9999999975954177,0.08203844155751312,9,0.0013042538629631872,0.027378199086217983,0.029734878315984523,0.0375
2,8,0.05,0.01,0.05,0.05,0.9914977773350222,0.9943318515566815,0.0056681484433185325,0.0,0.9171017879261516,0.19093818621506917,5,0.00010926939548201427,0.0055529171044709225,0.005769464006305487,0.944909900550901,0.963273267033934,0.03672673296606599,0.0,0.9999999984641825,0.020527919457243894,9,0.0012701954172697524,0.03598509340014912,0.03850534958827994,0.05
2,9,0.0625,0.0125,0.0625,0.0625,0.984713806152862,0.989809204101908,0.01019079589809202,0.0,0.8937783286198475,0.08029463877217638,5,0.00023217753743959892,0.009964936967017373,0.010438526455614707,0.9314986846850132,0.9543324564566754,0.045667543543324585,0.0,0.9999999996386602,0.08243627639471239,9,0.0012061227568973191,0.04535749074642515,0.0477720516822796,0.0625
2,10,0.075,0.015,0.075,0.075,0.9744456902555431,0.9829637935036954,0.01703620649630455,0.0,0.869247843548238,0.12564222010059317,4,0.00038529468266085265,0.016653066500136062,0.017427446225725497,0.9185660328143397,0.9457106885428931,0.054289311457106915,0.0,0.9999999996313111,0.03493862815281297,9,0.0012595917296890247,0.05350041290499596,0.05605101170615654,0.075
2,11,0.1,0.02,0.1,0.1,0.9415363245846367,0.9610242163897578,0.03897578361024223,0.0,0.8170594515704437,0.2786084575088363,4,0.0009419870417009081,0.038024863726417966,0.03978957565543762,0.8931912010680879,0.9287941340453919,0.0712058659546081,0.0,0.9999999995891279,0.07181257318799888,9,0.0012011985217666784,0.07084772195818945,0.07321392993452737,0.1
2,12,0.15,0.03,0.15,0.15,0.7891920021080799,0.8594613347387199,0.14053866526128012,0.0,0.702345450371115,0.10794985272947742,3,0.0033288691425937674,0.137190206628098,0.143780414562196,0.844708801552912,0.8964725343686079,0.10352746563139215,0.0,0.9999999995411423,0.13772101756178265,9,0.0012923881797450825,0.10372055362946125,0.10629047360376195,0.15
2,13,0.2,0.04,0.2,0.2,0.5137352048626479,0.6758234699084319,0.3241765300915681,0.0,0.5790980284323771,4.664012184931693,3,0.010954071032786578,0.3132088928679109,0.3346650633200161,0.801483201985168,0.867655467990112,0.13234453200988805,0.0,0.9999999994789539,0.8839571538680595,9,0.0014388556661589402,0.13615120930515456,0.13891553994417793,0.2
2,14,0.25,0.05,0.25,0.25,0.3905736060942639,0.593715737396176,0.406284262603824,0.0,0.45761225423425034,7.103369770796786e-14,2,0.012117425050597482,0.39462854005371467,0.41767421448992453,0.761177602388224,0.8407850682588159,0.15921493174118406,0.0,0.9999999997442425,4.352818761045253,9,0.001570909608903045,0.16875016364583176,0.17182282494843842,0.25
3,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,9,1.2034981913136724e-08,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,9,0.261035429046315,6.66598555283837e-06,0.6666665916666674,0.0
3,1,0.0005,0.0001,0.0005,0.0005,0.9999987375000127,0.9999991583333419,8.41666658146778e-07,0.0,0.9992622542976275,0.2483808389547619,9,1.8896918134501105e-07,6.396666604180368e-07,1.014999989834564e-06,0.9994354671846454,0.9996236447897635,0.00037635521023648977,0.0,0.9999999999934934,0.14174297536775526,9,0.002234184342542976,0.00039890136349898683,0.005365370711146356,0.0005
3,2,0.001,0.0002,0.001,0.001,0.999997101580029,0.9999980677200192,1.93227998079859e-06,0.0,0.9985084091120875,0.12106935217340827,9,2.441906608213578e-07,1.682537483227442e-06,2.1738149782457583e-06,0.9988885212913149,0.99925901419421,0.0007409858057899621,0.0,0.9999999997189982,0.1120663133186339,9,0.0018750850332666684,0.000346756703652411,0.004416409093435889,0.001
