p,lambda,lrb_lambda,rb_p,p_raw,lrb_fidelity,lrb_error_rate,rb_fidelity,rb_error_rate,lrb_f,rb_f,lrb_a,rb_a,lrb_n_points,rb_n_points,lrb_error_rate_std_boot,lrb_error_rate_ci_low,lrb_error_rate_ci_high,rb_error_rate_std_boot,rb_error_rate_ci_low,rb_error_rate_ci_high
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,9,9,1.2099748587022377e-08,0.0,0.0,0.261035429046315,6.66598555283837e-06,0.6666665916666674
0.0005,0.0005,0.0005,0.0005,0.0001,0.9999972128000278,2.787199972154042e-06,0.9996236447897635,0.00037635521023648977,0.9999958192000418,0.9994354671846454,0.0,0.0,9,9,1.8952829528740676e-07,2.612999973838903e-06,2.975637470314929e-06,0.002234184342542976,0.00039890136349898683,0.005365370711146356
0.001,0.001,0.001,0.001,0.0002,0.9999901989909313,9.801009068666211e-06,0.99925901419421,0.0007409858057899621,0.9999852984863971,0.9988885212913149,0.0,0.0,9,9,2.559477492319455e-07,9.526789904845678e-06,1.0038349899654797e-05,0.0018750850332666684,0.000346756703652411,0.004416409093435889
0.0025,0.0025,0.0025,0.0025,0.0005,0.999931027269023,6.897273097694612e-05,0.9981239786187602,0.0018760213812397675,0.9998965409035346,0.9971859679281404,0.0,0.0,9,9,5.789783637619559e-07,6.836631014961458e-05,6.953772665463376e-05,0.0015245233552020744,0.0007828465937715156,0.003994834651785016
0.005,0.005,0.005,0.005,0.001,0.9996961741114383,0.000303825888561704,0.996243365884233,0.003756634115766988,0.9995442611671573,0.9943650488263496,0.0,0.0,9,9,1.7384227620239155e-06,0.0003021505136465841,0.0003055339044696348,0.0015693028834688736,0.003339468406605306,0.006554001454459999
0.01,0.01,0.01,0.01,0.002,0.9985472099345278,0.0014527900654721648,0.9924828187418385,0.007517181258161476,0.9978208149017919,0.9887242281127577,0.0,0.0,9,9,6.112408875187567e-06,0.0014463457055365891,0.0014585734654142257,0.0013297356417776034,0.00747453272525469,0.010205703097942966
0.025,0.025,0.025,0.025,0.005,0.987818200121818,0.01218179987818202,0.9814048428526183,0.01859515714738169,0.9817273001827269,0.9721072642789274,0.0,0.0,9,9,4.2409609908446305e-05,0.012139160198608398,0.012219403877805957,0.0012870598394538707,0.01851297773487018,0.021198904108010855
0.0375,0.0375,0.0375,0.0375,0.0075,0.9537441284625586,0.04625587153744137,0.9723207136101261,0.027679286389873936,0.930616192693838,0.9584810704151893,0.0,0.0,9,9,8.217625451917614e-05,0.046180242898197624,0.04634401153655998,0.0013042538629631872,0.027378199086217983,0.029734878315984523
0.05,0.05,0.05,0.05,0.01,0.912265600877344,0.08773439912265601,0.963273267033934,0.03672673296606599,0.868398401316016,0.944909900550901,0.0,0.0,9,9,0.00014113034242133952,0.08759067645742666,0.08787180712128195,0.0012701954172697524,0.03598509340014912,0.03850534958827994
0.0625,0.0625,0.0625,0.0625,0.0125,0.866141868005248,0.13385813199475205,0.9543324564566754,0.045667543543324585,0.7992128020078719,0.9314986846850132,0.0,0.0,9,9,0.00025274975195653076,0.13362534266374668,0.13411598799217353,0.0012061227568973191,0.04535749074642515,0.0477720516822796
0.075,0.075,0.075,0.075,0.015,0.8334613349987201,0.1665386650012799,0.9457106885428931,0.054289311457106915,0.75019200249808,0.9185660328143397,0.0,0.0,9,9,0.0004521957039497036,0.16611022767223102,0.16695349166379844,0.0012595917296890247,0.05350041290499596,0.05605101170615654
0.1,0.1,0.1,0.1,0.02,0.7337173359961598,0.26628266400384015,0.9287941340453919,0.0712058659546081,0.6005760039942399,0.8931912010680879,0.0,0.0,9,9,0.0010295701553233673,0.26522619468107134,0.26729934666033983,0.0012011985217666784,0.07084772195818945,0.07321392993452737
0.15,0.15,0.15,0.15,0.03,0.5947898707187679,0.4052101292812321,0.8964725343686079,0.10352746563139215,0.39218480607815187,0.844708801552912,0.0,0.0,9,9,0.002421906840758359,0.4027854679721453,0.4077332225893345,0.0012923881797450825,0.10372055362946125,0.10629047360376195
0.2,0.2,0.2,0.2,0.04,0.504356804956432,0.495643195043568,0.867655467990112,0.13234453200988805,0.25653520743464797,0.801483201985168,0.0,0.0,9,9,0.005674305817163786,0.4896035577706311,0.500977424323559,0.0014388556661589402,0.13615120930515456,0.13891553994417793
0.25,0.25,0.25,0.25,0.05,0.44493067221736,0.55506932778264,0.8407850682588159,0.15921493174118406,0.16739600832603996,0.761177602388224,0.0,0.0,9,9,0.005379160881546227,0.5498833225011668,0.5602335090643317,0.001570909608903045,0.16875016364583176,0.17182282494843842
