p,lambda,lrb_lambda,rb_p,p_raw,lrb_fidelity,lrb_error_rate,rb_fidelity,rb_error_rate,lrb_f,rb_f,lrb_a,rb_a,lrb_n_points,rb_n_points,lrb_error_rate_std_boot,lrb_error_rate_ci_low,lrb_error_rate_ci_high,rb_error_rate_std_boot,rb_error_rate_ci_low,rb_error_rate_ci_high
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,9,9,1.2107291326400186e-08,0.0,0.0,0.261035429046315,6.66598555283837e-06,0.6666665916666674
0.0005,0.0005,0.0005,0.0005,0.0001,0.9999964304075357,3.569592464280902e-06,0.9996236447897635,0.00037635521023648977,0.9999946456113036,0.9994354671846454,0.0,0.0,9,9,1.8829003910157819e-07,3.3767999662037695e-06,3.746304962581881e-06,0.002234184342542976,0.00039890136349898683,0.005365370711146356
0.001,0.001,0.001,0.001,0.0002,0.9999871337201286,1.2866279871404096e-05,0.99925901419421,0.0007409858057899621,0.999980700580193,0.9988885212913149,0.0,0.0,9,9,2.8366741080187675e-07,1.257047987424098e-05,1.3164119868291912e-05,0.0018750850332666684,0.000346756703652411,0.004416409093435889
0.0025,0.0025,0.0025,0.0025,0.0005,0.9999082988109169,9.170118908308211e-05,0.9981239786187602,0.0018760213812397675,0.9998624482163755,0.9971859679281404,0.0,0.0,9,9,6.121781756445996e-07,9.108677575575541e-05,9.231560241007575e-05,0.0015245233552020744,0.0007828465937715156,0.003994834651785016
0.005,0.005,0.005,0.005,0.001,0.9996113508660865,0.00038864913391345457,0.996243365884233,0.003756634115766988,0.9994170262991298,0.9943650488263496,0.0,0.0,9,9,1.919589029626559e-06,0.0003868935195310286,0.00039067746509324763,0.0015693028834688736,0.003339468406605306,0.006554001454459999
0.01,0.01,0.01,0.01,0.002,0.998316706066833,0.0016832939331670183,0.9924828187418385,0.007517181258161476,0.9974750591002495,0.9887242281127577,0.0,0.0,9,9,7.376102981799459e-06,0.001676317783236847,0.001690950683090442,0.0013297356417776034,0.00747453272525469,0.010205703097942966
0.025,0.025,0.025,0.025,0.005,0.9833976668326899,0.01660233316731008,0.9814048428526183,0.01859515714738169,0.9750965002490348,0.9721072642789274,0.0,0.0,9,9,4.164334822565392e-05,0.01656066650106014,0.01664610650020558,0.0012870598394538707,0.01851297773487018,0.021198904108010855
0.0375,0.0375,0.0375,0.0375,0.0075,0.9420998139123351,0.057900186087664895,0.9723207136101261,0.027679286389873936,0.9131497208685027,0.9584810704151893,0.0,0.0,9,9,6.965318156140062e-05,0.05783250555500833,0.05796517232701491,0.0013042538629631872,0.027378199086217983,0.029734878315984523
0.05,0.05,0.05,0.05,0.01,0.9049477342838559,0.09505226571614411,0.963273267033934,0.03672673296606599,0.8574216014257838,0.944909900550901,0.0,0.0,9,9,0.00012979103556603016,0.09492027638413057,0.09516496971501705,0.0012701954172697524,0.03598509340014912,0.03850534958827994
0.0625,0.0625,0.0625,0.0625,0.0125,0.865830934675024,0.13416906532497597,0.9543324564566754,0.045667543543324585,0.798746402012536,0.9314986846850132,0.0,0.0,9,9,0.00027329469449710895,0.13389759866102402,0.13441633998916996,0.0012061227568973191,0.04535749074642515,0.0477720516822796
0.075,0.075,0.075,0.075,0.015,0.833742401662576,0.16625759833742404,0.9457106885428931,0.054289311457106915,0.7506136024938639,0.9185660328143397,0.0,0.0,9,9,0.00044685431344343473,0.16578382767549502,0.16663675566696565,0.0012595917296890247,0.05350041290499596,0.05605101170615654
0.1,0.1,0.1,0.1,0.02,0.733794135995392,0.266205864004608,0.9287941340453919,0.0712058659546081,0.600691203993088,0.8931912010680879,0.0,0.0,9,9,0.001057439254315281,0.2651641146816922,0.2671554533284456,0.0012011985217666784,0.07084772195818945,0.07321392993452737
0.15,0.15,0.15,0.15,0.03,0.5947904040520959,0.40520959594790407,0.8964725343686079,0.10352746563139215,0.3921856060781439,0.844708801552912,0.0,0.0,9,9,0.002412360199562829,0.4028792066378747,0.40750077459165895,0.0012923881797450825,0.10372055362946125,0.10629047360376195
0.2,0.2,0.2,0.2,0.04,0.504356804956432,0.495643195043568,0.867655467990112,0.13234453200988805,0.25653520743464797,0.801483201985168,0.0,0.0,9,9,0.00544304417990503,0.4900409764329235,0.50136532831968,0.0014388556661589402,0.13615120930515456,0.13891553994417793
0.25,0.25,0.25,0.25,0.05,0.44493067221736,0.55506932778264,0.8407850682588159,0.15921493174118406,0.16739600832603996,0.761177602388224,0.0,0.0,9,9,0.005054507403404847,0.550246053164206,0.5601810717315225,0.001570909608903045,0.16875016364583176,0.17182282494843842
