p,lrb_fidelity,lrb_error_rate,rb_fidelity,rb_error_rate,lrb_f,rb_f,lrb_a,rb_a,lrb_n_points,rb_n_points
3.35981829e-05,0.9999999933333333,6.666666663157628e-09,0.9999987021578001,1.29784219993212e-06,0.99999999,0.9999980532367002,0.0,-18.120683653489294,9,9
0.000615848211,0.9999998600000026,1.3999999737279722e-07,0.9991226530642136,0.0008773469357864494,0.9999997900000039,0.9986839795963203,0.0,0.46736943573682654,9,9
0.0112883789,0.9999453987944252,5.460120557476689e-05,0.9915195935029413,0.008480406497058723,0.9999180981916378,0.9872793902544119,0.0,0.0020833887677151226,9,9
0.0206130785,0.9998053961788251,0.00019460382117486574,0.9846128576410761,0.015387142358923911,0.9997080942682378,0.976919286461614,0.0,-0.0054151319915787385,9,9
0.0233572147,0.9997155630630218,0.00028443693697821626,0.9820780923584379,0.017921907641562096,0.9995733445945328,0.9731171385376569,0.0,0.017746441457948185,9,9
0.0311537409,0.9994455527940221,0.0005544472059778593,0.9763868604722626,0.02361313952773736,0.9991683291910332,0.9645802907083939,0.0,0.007386736305873726,7,9
0.0362021775,0.9992340611953185,0.0007659388046814541,0.9727738338778563,0.02722616612214368,0.9988510917929778,0.9591607508167846,0.0,0.0026485877512469874,6,9
0.0420687089,0.9989638143640569,0.0010361856359430988,0.968558457962164,0.031441542037836,0.9984457215460854,0.952837686943246,0.0,-0.0025767706800938453,6,9
0.0483293024,0.9983202725669278,0.001679727433072209,0.9633075674005153,0.03669243259948474,0.9974804088503916,0.9449613511007728,0.0,0.00791796558740088,5,9
0.0547144504,0.9976833011296672,0.0023166988703328117,0.9591884261495647,0.04081157385043532,0.9965249516945007,0.938782639224347,0.0,-0.003370874257619812,5,9
0.0635808794,0.995975735920485,0.00402426407951495,0.9523211649535765,0.04767883504642345,0.9939636038807277,0.9284817474303648,0.0,0.0016789543811222543,4,9
0.0738841056,0.994387736912245,0.005612263087754976,0.944317775780311,0.05568222421968905,0.9915816053683675,0.9164766636704664,0.0,0.0019475652881404053,4,9
0.0858569606,0.9907301215187307,0.009269878481269256,0.9352815546277021,0.06471844537229787,0.9860951822780961,0.9029223319415531,0.0,0.0027377506183934963,4,9
0.0925524149,0.9884636868973927,0.011536313102607276,0.9309178613816428,0.06908213861835721,0.9826955303460891,0.896376792072464,0.0,-0.002042053486718541,3,9
0.1,0.9856202256209287,0.014379774379071342,0.9243301281800639,0.07566987181993612,0.9784303384313929,0.886495192270096,0.0,0.0037737905110302697,3,9
0.143844989,0.9383471212330575,0.061652878766942476,0.8918015954973013,0.10819840450269869,0.9075206818495862,0.8377023932459519,0.0,0.001665063935187996,2,9
0.206913808,0.8204015969253012,0.17959840307469876,0.8424986631500267,0.15750133684997325,0.730602395387952,0.76374799472504,0.0,0.005418450235117936,2,9
0.335981829,,,0.7407237318521919,0.25927626814780813,,0.611085597778288,,0.00730377694238619,0,9
