check_num,p_index,p,lrb_f,lrb_fidelity,lrb_error_rate,lrb_a,lrb_b,lrb_chi2,lrb_n_points,lrb_error_rate_std_boot,lrb_error_rate_ci_low,lrb_error_rate_ci_high,rb_f,rb_fidelity,rb_error_rate,rb_a,rb_b,rb_chi2,rb_n_points,rb_error_rate_std_boot,rb_error_rate_ci_low,rb_error_rate_ci_high
1,0,3.35981829e-05,1.0,1.0,0.0,0.0,0.9999764606991746,0.20077754909028467,9,1.0352074175772276e-08,0.0,0.0,0.9999980995066783,0.9999987330044521,1.2669955479216455e-06,-18.586177585542423,19.586149385851005,0.27111432550036135,9,0.005942087695779165,1.0576537283490948e-06,0.009274614307253893
1,1,0.000615848211,0.999999800000002,0.9999998666666681,1.3333333193088492e-07,0.0,0.9995840989913387,0.18519683814395554,9,1.1516732096613345e-07,0.0,2.679999973054237e-07,0.9986839895831601,0.9991226597221067,0.0008773402778933237,0.4673654419907468,0.5319274734283584,0.08724967919634789,9,0.00162549291654577,6.212259702209622e-07,0.0030860642354060986
1,2,0.0112883789,0.9999181081908189,0.999945405460546,5.459453945400039e-05,0.0,0.9916915976431185,0.34490619421527385,9,2.669783950235283e-06,5.1817439946861834e-05,5.6968302299700294e-05,0.9872794001272059,0.991519600084804,0.008480399915196002,0.002082702516943801,0.9851306653025819,0.24001176453737236,9,0.0006966536021935337,0.007803798695295341,0.009129080335375886
1,3,0.0206130785,0.999708104265319,0.999805402843546,0.00019459715645397946,0.0,0.9836847049534321,0.9482627658504643,9,1.0102827168079509e-05,0.0001846446171655325,0.00020414499350259518,0.9769192962308071,0.9846128641538714,0.015387135846128608,-0.005415467616652132,0.9822509547154727,0.08152918416327191,9,0.00044905165972842923,0.014977666516890031,0.01589440581438925
1,4,0.0233572147,0.9995733545902664,0.9997155697268442,0.00028443027315583347,0.0,0.981174570279522,0.6241293244415489,9,1.163182547661561e-05,0.0002720662540793839,0.00029511423026484795,0.9731171482688284,0.9820780988458857,0.017921901154114295,0.017746171937722825,0.9563505949923083,0.2735388617546707,9,0.000387600198167051,0.017504874171618046,0.018345937416540586
1,5,0.0311537409,0.9991683391827165,0.9994455594551445,0.000554440544855539,0.0,0.9733916795062989,0.7553432022211427,7,2.3398921085132847e-05,0.0005310053033938722,0.0005766758609465805,0.964580300354197,0.9763868669027979,0.023613133097202144,0.007386546530864522,0.9574337985391419,0.15772414982181557,9,0.000370068468084461,0.023250844567491543,0.023972382480276208
1,6,0.0362021775,0.998851101781489,0.999234067854326,0.0007659321456739976,0.0,0.9677698056162395,0.7718790057381186,6,3.3556087920241876e-05,0.000732852300111535,0.0007986513242802529,0.9591607604083924,0.9727738402722617,0.02722615972773834,0.0026484311749861624,0.9564055762658868,0.18404953593642162,9,0.0003485149577461179,0.026866162451338355,0.027575640470910233
1,7,0.0420687089,0.9984457315305426,0.9989638210203617,0.0010361789796382581,0.0,0.9609242081797973,1.063710558506651,6,4.398970451367117e-05,0.000993867256994654,0.0010825800425076082,0.9528376964716231,0.9685584643144155,0.0314415356855845,-0.0025768986501535133,0.9556149259848392,0.17677967771911027,9,0.00033459940485586664,0.031134773501985732,0.031765662615676836
1,8,0.0483293024,0.9974804188251958,0.9983202792167972,0.001679720783202776,0.0,0.953072342962332,0.5192713135615741,5,7.419805091042563e-05,0.001602597733973976,0.0017588690957446617,0.9449613605503864,0.9633075737002575,0.03669242629974245,0.007917868446535388,0.9373816605670687,0.30321557032339785,9,0.00035948901759673413,0.03632600667674,0.037065079149349124
1,9,0.0547144504,0.9965249616597504,0.9976833077731669,0.0023166922268330614,0.0,0.9445131878004783,0.5157838937208906,5,9.032699558773012e-05,0.002228882965711154,0.0024118397758816634,0.9387826486121735,0.9591884324081157,0.04081156759188431,-0.0033709554163363635,0.9418982932127219,0.2470958476438684,9,0.00034428091593419245,0.04049015207509842,0.04112721921539449
1,10,0.0635808794,0.9939636138203638,0.9959757425469092,0.004024257453090763,0.0,0.9313809227531824,0.16253505865115042,4,0.0001622813796037956,0.0038633823005662293,0.004191488252485178,0.9284817567151824,0.9523211711434549,0.047678828856545064,0.001678894989949793,0.9264492538529775,0.28224174351449144,9,0.0003232383696768776,0.04734177360658231,0.04802100517312328
1,11,0.0738841056,0.9915816152841839,0.9943877435227892,0.005612256477210753,0.0,0.9142814133472821,0.35312842396615196,4,0.00030519662792163926,0.00532921069870802,0.005926260791137339,0.9164766728352333,0.9443177818901555,0.05568221810984453,0.0019475189382242779,0.9151770831867648,0.13301036343374925,9,0.0002971127842435169,0.05539637352603615,0.05597639112023609
1,12,0.0858569606,0.986095192139048,0.9907301280926987,0.00926987190730133,0.0,0.8921141223541721,0.15144417125908466,4,0.0004369880805670686,0.008818025725153035,0.009675646836576828,0.9029223409707766,0.9352815606471845,0.06471843935281552,0.0027377163788330724,0.9008113493608917,0.3563009811702012,9,0.00031883437577180147,0.06440356079596447,0.06502980788303521
1,13,0.0925524149,0.9826955401730446,0.9884636934486964,0.011536306551303555,0.0,0.8785176266391547,0.263352249648735,3,0.0005914260210964717,0.010923623944097245,0.012110764678892329,0.896376801036232,0.930917867357488,0.06908213264251195,-0.002042084361512578,0.8970447864868528,0.677330566193797,9,0.0003085738331482759,0.06877804731221952,0.06939856997268097
