p,lrb_fidelity,lrb_error_rate,rb_fidelity,rb_error_rate,lrb_f,rb_f,lrb_a,rb_a,lrb_n_points,rb_n_points
3.35981829e-05,0.9999999933333333,6.666666663157628e-09,0.9999987021578001,1.29784219993212e-06,0.99999999,0.9999980532367002,0.0,-18.120683653489294,9,9
0.000615848211,0.9999995913333413,4.0866665873551256e-07,0.9991226530642136,0.0008773469357864494,0.999999387000012,0.9986839795963203,0.0,0.46736943573682654,9,9
0.0112883789,0.9998350175366327,0.00016498246336726918,0.9915195935029413,0.008480406497058723,0.9997525263049492,0.9872793902544119,0.0,0.0020833887677151226,9,9
0.0206130785,0.9994078302441766,0.0005921697558234351,0.9846128576410761,0.015387142358923911,0.9991117453662648,0.976919286461614,0.0,-0.0054151319915787385,9,9
0.0233572147,0.9991858310029498,0.0008141689970502242,0.9820780923584379,0.017921907641562096,0.9987787465044248,0.9731171385376569,0.0,0.017746441457948185,9,9
0.0311537409,0.9984225429648822,0.0015774570351178019,0.9763868604722626,0.02361313952773736,0.9976338144473235,0.9645802907083939,0.0,0.007386736305873726,8,9
0.0362021775,0.9977156545390201,0.0022843454609798863,0.9727738338778563,0.02722616612214368,0.9965734818085301,0.9591607508167846,0.0,0.0026485877512469874,7,9
0.0420687089,0.9967778317977766,0.00322216820222343,0.968558457962164,0.031441542037836,0.9951667476966648,0.952837686943246,0.0,-0.0025767706800938453,6,9
0.0483293024,0.995227779162111,0.004772220837888974,0.9633075674005153,0.03669243259948474,0.9928416687431664,0.9449613511007728,0.0,0.00791796558740088,5,9
0.0547144504,0.9932680638679718,0.00673193613202816,0.9591884261495647,0.04081157385043532,0.9899020958019578,0.938782639224347,0.0,-0.003370874257619812,5,9
0.0635808794,0.9892172522156547,0.010782747784345292,0.9523211649535765,0.04767883504642345,0.9838258783234821,0.9284817474303648,0.0,0.0016789543811222543,5,9
0.0738841056,0.9836313976607052,0.016368602339294824,0.944317775780311,0.05568222421968905,0.9754470964910578,0.9164766636704664,0.0,0.0019475652881404053,4,9
0.0858569606,0.9736147778610377,0.026385222138962328,0.9352815546277021,0.06471844537229787,0.9604221667915565,0.9029223319415531,0.0,0.0027377506183934963,4,9
0.0925524149,0.9668271939967893,0.03317280600321071,0.9309178613816428,0.06908213861835721,0.9502407909951839,0.896376792072464,0.0,-0.002042053486718541,4,9
0.1,0.9566533942002652,0.043346605799734816,0.9243301281800639,0.07566987181993612,0.9349800913003978,0.886495192270096,0.0,0.0037737905110302697,4,9
0.143844989,0.8275797301150719,0.1724202698849281,0.8918015954973013,0.10819840450269869,0.7413695951726079,0.8377023932459519,0.0,0.001665063935187996,3,9
0.206913808,0.568763735291392,0.431236264708608,0.8424986631500267,0.15750133684997325,0.35314560293708797,0.76374799472504,0.0,0.005418450235117936,2,9
0.335981829,0.8433626631327465,0.15663733686725345,0.7407237318521919,0.25927626814780813,0.7650439946991199,0.611085597778288,0.0,0.00730377694238619,2,9
