timestamp_utc,backend,phase,event,probability_index,probability,batch_index,batch_shots,shots_remaining_before,shots_remaining_after,clifford_index,depth_index,depth,shots,circuit_dimension,circuit_qudits,circuit_operations,simulator_seconds,dem_compile_seconds,dem_sample_seconds,dem_cache_hit,dem_total_noise_locations,dem_active_noise_locations,dem_detectors,dem_logicals,unpack_seconds,record_seconds,process_seconds,load_seconds,write_seconds,total_seconds,notes
2026-06-15T22:03:34Z,dem,RB_comparison,simulate_depth,9,0.062500000,,10000,,,0,0,0,10000,3,1,2,0.000944738,0.000733486,0.000137105,0,0,0,0,1,,,0.000214780,,,0.001176490,simulated_shots=10001;reference_shot_dropped=1
2026-06-15T22:03:34Z,dem,RB_comparison,simulate_depth,9,0.062500000,,10000,,,0,1,2,10000,3,1,34,0.007819348,0.003088089,0.004689200,0,16,16,0,1,,,0.000140281,,,0.007970409,simulated_shots=10001;reference_shot_dropped=1
2026-06-15T22:03:34Z,dem,RB_comparison,simulate_depth,9,0.062500000,,10000,,,0,2,4,10000,3,1,54,0.011316469,0.003919918,0.007366655,0,26,26,0,1,,,0.000201334,,,0.011531099,simulated_shots=10001;reference_shot_dropped=1
2026-06-15T22:03:34Z,dem,RB_comparison,simulate_depth,9,0.062500000,,10000,,,0,3,6,10000,3,1,82,0.016477568,0.005571783,0.010886038,0,40,40,0,1,,,0.000158975,,,0.016649158,simulated_shots=10001;reference_shot_dropped=1
2026-06-15T22:03:34Z,dem,RB_comparison,simulate_depth,9,0.062500000,,10000,,,0,4,10,10000,3,1,162,0.032051783,0.010569298,0.021448212,0,80,80,0,1,,,0.000182750,,,0.032249682,simulated_shots=10001;reference_shot_dropped=1
2026-06-15T22:03:35Z,dem,RB_comparison,simulate_depth,9,0.062500000,,10000,,,0,5,14,10000,3,1,250,0.048969041,0.016056104,0.032875687,0,124,124,0,1,,,0.000194632,,,0.049187968,simulated_shots=10001;reference_shot_dropped=1
2026-06-15T22:03:35Z,dem,RB_comparison,simulate_depth,9,0.062500000,,10000,,,0,6,18,10000,3,1,326,0.071282655,0.023368047,0.047856089,0,162,162,0,1,,,0.000211614,,,0.071686988,simulated_shots=10001;reference_shot_dropped=1
2026-06-15T22:03:35Z,dem,RB_comparison,simulate_depth,9,0.062500000,,10000,,,0,7,20,10000,3,1,370,0.077634751,0.027044372,0.050552037,0,184,184,0,1,,,0.000220280,,,0.077882402,simulated_shots=10001;reference_shot_dropped=1
2026-06-15T22:03:35Z,dem,RB_comparison,simulate_depth,9,0.062500000,,10000,,,0,8,22,10000,3,1,414,0.085974617,0.034233695,0.051696469,0,206,206,0,1,,,0.000210261,,,0.086204445,simulated_shots=10001;reference_shot_dropped=1
2026-06-15T22:03:35Z,dem,RB_comparison,simulate_depth,9,0.062500000,,10000,,,1,0,0,10000,3,1,2,0.000491364,0.000445209,0.000019526,0,0,0,0,1,,,0.000124081,,,0.000625274,simulated_shots=10001;reference_shot_dropped=1
