p,lrb_fidelity,lrb_error_rate,rb_fidelity,rb_error_rate,lrb_f,rb_f,lrb_a,rb_a,lrb_n_points,rb_n_points
3.35981829e-05,0.9999962470284082,3.752971591830523e-06,0.9999994065913054,5.934086946268735e-07,0.9999943705426123,0.9999991098869581,0.0,-38.350580193489705,9,9
0.000615848211,0.9999210877582447,7.891224175526901e-05,0.9980582572855013,0.001941742714498651,0.9998816316373671,0.9970873859282521,0.0,0.758463996620828,9,9
0.0112883789,0.9939900713535318,0.00600992864646821,0.9923692308192819,0.007630769180718144,0.9909851070302976,0.9885538462289227,0.0,-0.0925784362528463,9,9
0.0206130785,0.9793313377467064,0.020668662253293557,0.9840215189862361,0.015978481013763868,0.9689970066200597,0.9760322784793541,0.0,0.0247956834451255,9,9
0.0233572147,0.9736277978607771,0.026372202139222867,0.9818538950295886,0.01814610497041136,0.9604416967911658,0.972780842544383,0.0,0.026543208281464975,9,9
0.0311537409,0.9521106076244544,0.04788939237554557,0.9766784737997637,0.02332152620023631,0.9281659114366816,0.9650177106996456,0.0,-0.002633971322235074,9,9
0.0362021775,0.9361992212760154,0.0638007787239846,0.9725358258826166,0.027464174117383444,0.904298831914023,0.9588037388239249,0.0,0.006137338210557361,9,9
0.0420687089,0.9173333283199999,0.08266667168000008,0.9687285859587614,0.031271414041238565,0.8759999924799999,0.9530928789381422,0.0,-0.00425712095448797,9,9
0.0483293024,0.8978314620433707,0.10216853795662928,0.9640042393865818,0.03599576061341825,0.846747193065056,0.9460063590798725,0.0,-0.00449215652903413,9,9
0.0547144504,0.875056529165536,0.124943470834464,0.9590220608195587,0.04097793918044135,0.812584793748304,0.9385330912293379,0.0,-0.0007573094470385374,9,9
0.0635808794,0.850995729646752,0.14900427035324804,0.9523449462864343,0.04765505371356571,0.7764935944701279,0.9285174194296515,0.0,0.001266109526366067,9,9
0.0738841056,0.8168314636633708,0.18316853633662922,0.9444665331106693,0.055533466889330696,0.725247195495056,0.9166997996660039,0.0,0.0014405767137322997,9,9
0.0858569606,0.7840303976527253,0.2159696023472747,0.9352237679621912,0.0647762320378088,0.6760455964790879,0.9028356519432867,0.0,0.002408497834239436,9,9
0.0925524149,0.7654159980250134,0.23458400197498663,0.9304170613916586,0.06958293860834142,0.64812399703752,0.8956255920874879,0.0,0.0017942389785884287,9,9
0.1,0.733470931997248,0.266529068002752,0.9263258614734827,0.07367413852651727,0.600206397995872,0.889488792210224,0.0,-0.0050413364274142876,9,9
0.143844989,0.619651734273632,0.38034826572636804,0.8914799955037332,0.10852000449626675,0.42947760141044794,0.8372199932555999,0.0,0.0013671488639012796,9,9
0.206913808,0.4861584036101653,0.5138415963898346,0.843198929802688,0.15680107019731204,0.22923760541524793,0.764798394704032,0.0,0.006299111981087005,9,9
0.335981829,0.4146304050407254,0.5853695949592745,0.7408175985169815,0.2591824014830185,0.12194560756108802,0.6112263977754722,0.0,0.007658873869193311,9,9
