p,lrb_fidelity,lrb_error_rate,rb_fidelity,rb_error_rate,lrb_f,rb_f,lrb_a,rb_a,lrb_n_points,rb_n_points,lrb_error_rate_std_boot,lrb_error_rate_ci_low,lrb_error_rate_ci_high,rb_error_rate_std_boot,rb_error_rate_ci_low,rb_error_rate_ci_high
3.35981829e-05,0.9999962183525378,3.7816474621754637e-06,0.9999988901037392,1.1098962607869467e-06,0.9999943275288067,0.9999983351556087,0.0,-20.03901506615968,9,9,6.067507182864405e-08,3.7109624629882987e-06,3.852332461473651e-06,0.006491139122058186,8.790718832196731e-07,0.010523990081426689
0.000615848211,0.9999176486408236,8.235135917644687e-05,0.9980582639327507,0.0019417360672493444,0.9998764729612353,0.9970873958991261,0.0,0.7584631924666686,9,9,5.172733511544129e-07,8.18234658485073e-05,8.27947491721659e-05,0.0019261139282317607,9.270207321243614e-07,0.0041173842468261255
0.0112883789,0.9925828320741715,0.007417167925828472,0.9923692374096409,0.007630762590359108,0.9888742481112575,0.9885538561144613,0.0,-0.09257928366602006,9,9,1.5053291435591309e-05,0.007401479925985277,0.007431719285682719,0.000596417279267748,0.007055125194515331,0.008191847918081568
0.0206130785,0.9747268642527313,0.02527313574726875,0.984021525493118,0.015978474506881946,0.9620902963790969,0.9760322882396771,0.0,0.024795369238893684,9,9,3.544554733910615e-05,0.025239279747607313,0.02531164326688355,0.0004684575056434159,0.01555499280445014,0.016483069435169317
0.0233572147,0.966555600334444,0.03344439966555601,0.9818539015147943,0.018146098485205653,0.949833400501666,0.9727808522721915,0.0,0.026542937209862293,9,9,3.8582551897388024e-05,0.03340199966598012,0.033481599665183936,0.00039689007131419864,0.017717933902820657,0.018573038747603063
0.0311537409,0.9426390885736091,0.05736091142639088,0.9766784802332151,0.02332151976678487,0.9139586328604137,0.9650177203498227,0.0,-0.002634168920723059,9,9,5.351308848345061e-05,0.05730809734691908,0.05741951878580494,0.00033228057613728844,0.02298092083685738,0.02364401987022656
0.0362021775,0.924190400758096,0.075809599241904,0.9725358322746417,0.027464167725358313,0.8862856011371439,0.9588037484119625,0.0,0.006137184272943335,9,9,6.77494136339406e-05,0.07574640990920253,0.07588115124118844,0.00037021150490796766,0.027076170609238316,0.027827578388390894
0.0420687089,0.9070432009295679,0.09295679907043208,0.968728592312714,0.03127140768728598,0.860564801394352,0.953092888469071,0.0,-0.004257249036633555,9,9,8.52717018346259e-05,0.09287146573795191,0.09304221773624441,0.0003595094753623641,0.030937268063960688,0.03161945275047216
0.0483293024,0.88448800115512,0.11551199884487995,0.9640042456932908,0.035995754306709205,0.82673200173268,0.9460063685399362,0.0,-0.0044922598836653685,9,9,0.00010639963945283874,0.11541066551256007,0.11562399884375996,0.00032955057852936196,0.035653342310133174,0.036329467476705284
0.0547144504,0.865602134677312,0.13439786532268805,0.9590220670764461,0.040977932923553895,0.7984032020159679,0.938533100614669,0.0,-0.0007573903713537637,9,9,0.0001388984313063267,0.13425476132411912,0.13453678798796553,0.0003411414461333267,0.04064213548691201,0.04130275926697241
0.0635808794,0.845429868212368,0.15457013178763201,0.9523449524765505,0.04765504752344951,0.768144802318552,0.9285174287148257,0.0,0.0012660446883878509,9,9,0.00017903994593465984,0.15439244645607555,0.1547352731193141,0.0002897473355532185,0.0473427585665724,0.04794457296055417
0.0738841056,0.812262401877376,0.18773759812262403,0.9444665392220012,0.05553346077799881,0.7183936028160639,0.916699808833002,0.0,0.0014405293747362985,9,9,0.00025174093534311424,0.1875021421249785,0.18798950212010507,0.00029262265841322306,0.055250793367492196,0.05582706077506272
0.0858569606,0.7836064021639358,0.21639359783606416,0.9352237739810955,0.06477622601890454,0.6754096032459038,0.9028356609716434,0.0,0.002408462962897997,9,9,0.00037444668776463914,0.2159834858401651,0.21673704316596298,0.0003171414616729569,0.06446457535535421,0.06508984788243491
0.0925524149,0.7653754690129121,0.2346245309870879,0.930417067362496,0.06958293263750404,0.648063203519368,0.8956256010437439,0.0,0.0017942105483525733,9,9,0.0003895311189448529,0.23423858965761402,0.23504221631624453,0.0003095778019579663,0.06927522064058111,0.06990790330092106
0.1,0.7334848026651519,0.2665151973348481,0.926325867403408,0.07367413259659195,0.6002272039977279,0.889488801105112,0.0,-0.005041362371325375,9,9,0.0004452146507550219,0.2660594746727385,0.2669728826636045,0.0002786203548514237,0.07342690059906437,0.0739536419271303
0.143844989,0.619662937136704,0.38033706286329605,0.8914800010852,0.10851999891480002,0.4294944057050559,0.8372200016277999,0.0,0.0013671389009275725,9,9,0.0008881776895146691,0.37944806020551947,0.38118828418811723,0.00038976121310263767,0.10812437225208966,0.10892059624412742
0.206913808,0.48615840513841596,0.513841594861584,0.843198934901344,0.156801065098656,0.22923760770762397,0.764798402352016,0.0,0.006299108681719824,9,9,0.0011388022736670488,0.5127899682054337,0.5150281121830522,0.00046814794526095016,0.15630794510358714,0.15725098509415675
0.335981829,0.414630405853696,0.585369594146304,0.7408176025918239,0.25918239740817606,0.12194560878054396,0.611226403887736,0.0,0.007658873457999994,9,9,0.0051925929655475276,0.5805174341948257,0.5907926767587399,0.0010033983401575386,0.25813744808529215,0.26015933606507335
