check_num,p_index,p,p_raw,lrb_lambda,rb_p,lrb_f,lrb_fidelity,lrb_error_rate,lrb_a,lrb_b,lrb_chi2,lrb_n_points,lrb_error_rate_std_boot,lrb_error_rate_ci_low,lrb_error_rate_ci_high,rb_f,rb_fidelity,rb_error_rate,rb_a,rb_b,rb_chi2,rb_n_points,rb_error_rate_std_boot,rb_error_rate_ci_low,rb_error_rate_ci_high,lambda
1,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,9,1.2593184043374641e-08,0.0,3.333333298272123e-08,1.0,1.0,0.0,0.0,1.0,0.0,9,0.261035429046315,6.66598555283837e-06,0.6666665916666674,0.0
1,1,0.0005,0.0001,0.0005,0.0005,1.0,1.0,0.0,0.0,0.999254358062121,0.6993634330975627,9,0.0,0.0,0.0,0.9994232162372804,0.9996154774915201,0.0003845225084798676,0.0,0.9999999998057135,0.18687999091659818,9,0.0016377417390153652,4.785440521888339e-06,0.0033301477946985937,0.0005
1,2,0.001,0.0002,0.001,0.001,0.9999988890000111,0.9999992593333408,7.406666592268962e-07,0.0,0.9985073202961136,0.2852308883807204,9,3.018058783575831e-07,4.6899999528449143e-07,1.0488333228586555e-06,0.9988567325314327,0.9992378216876219,0.0007621783123781256,0.0,1.0000000010374837,0.11054266388967904,9,0.0005866886226346336,3.4505004314899774e-06,0.000482214256471294,0.001
1,3,0.0025,0.0005,0.0025,0.0025,0.9999937147300628,0.9999958098200419,4.190179958118989e-06,0.0,0.996260242517535,0.18085385106070903,9,5.988798433944592e-07,3.569592464280902e-06,4.767384952253373e-06,0.9971623294283768,0.9981082196189179,0.0018917803810820644,0.0,0.9999999995397195,0.0679201315296185,9,0.001484954986083185,0.0003829364149586345,0.003688768498445616,0.0025
1,4,0.005,0.001,0.005,0.005,0.9999696372392911,0.9999797581595274,2.0241840472556838e-05,0.0,0.9924805150905126,0.33831210687548074,9,1.2829179706128641e-06,1.900535380994217e-05,2.1470736035311688e-05,0.9941847658581524,0.9961231772387683,0.003876822761231691,0.0,1.0000000039152013,0.21938431499136837,9,0.000995381162260904,4.81381627070121e-06,0.0020966159022338584,0.005
1,5,0.01,0.002,0.01,0.01,0.9998597594814024,0.999906506320935,9.349367906497097e-05,0.0,0.9848045080425676,0.8679527033279361,9,4.705153460559659e-06,8.853230498132802e-05,9.771257388953458e-05,0.988393296116067,0.9922621974107114,0.007737802589288578,0.0,1.0000000090862688,0.2984460587069977,9,0.001371250853409402,0.0025358219906417867,0.005347931879320687,0.01
1,6,0.025,0.005,0.025,0.025,0.9988717249712827,0.9992478166475219,0.0007521833524780641,0.0,0.9606717399191048,0.6524430630487096,6,2.9541639597524307e-05,0.0007199392054165487,0.0007795180191380879,0.9721098242789018,0.9814065495192678,0.018593450480732243,0.0,1.0000000014532342,0.07238343350591371,9,0.001269454526192634,0.018007841206588337,0.020583460380832027,0.025
1,7,0.0375,0.0075,0.0375,0.0375,0.996981497480185,0.9979876649867899,0.002012335013210076,0.0,0.9393028896917719,0.5657398552305376,5,7.140517971950055e-05,0.0019450749426825986,0.0020887158847128573,0.9584250364157496,0.9722833576104998,0.027716642389500223,0.0,1.0000000020878743,0.05661020046202163,9,0.00133318648259931,0.026856046451439453,0.029259939547400714,0.0375
1,8,0.05,0.01,0.05,0.05,0.9934853588551464,0.9956569059034309,0.004343094096569078,0.0,0.9171031119125953,0.4751471804450589,4,0.00018818227478239325,0.004150895340891001,0.00454374613776261,0.9434321365656786,0.9622880910437858,0.037711908956214235,0.0,1.0000000103376077,0.2031286863434013,9,0.001249015109978936,0.03367831976988352,0.0360911603857551,0.05
1,9,0.0625,0.0125,0.0625,0.0625,0.9879340161206598,0.9919560107471065,0.008043989252893513,0.0,0.8932989464750862,0.31486461209294503,4,0.0004062385826267434,0.007630584190360827,0.008444711915552875,0.9318417286815827,0.9545611524543883,0.04543884754561167,0.0,0.999999996750448,0.12486171697076279,9,0.0011969782734138382,0.045621819383781806,0.0479966958400331,0.0625
