check_num,threshold_p,threshold_p_std_boot,threshold_p_ci_low,threshold_p_ci_high,threshold_lrb_lambda,threshold_rb_p,threshold_rb_error_rate,threshold_lrb_error_rate,method,start_idx_used,tail_cut_idx,n_points_used,threshold_lambda,threshold_lambda_std_boot,threshold_lambda_ci_low,threshold_lambda_ci_high,threshold_lrb_lambda_std_boot,threshold_lrb_lambda_ci_low,threshold_lrb_lambda_ci_high,threshold_rb_p_std_boot,threshold_rb_p_ci_low,threshold_rb_p_ci_high
1,0.14490846097899202,0.0070714824914880296,0.1345242744742615,0.15,0.14490846097899202,0.14490846097899202,0.10094126681173507,0.10094126681173508,permanent_regime_no_consecutive_interp,4,13,13,0.14490846097899202,0.0070714824914880296,0.1345242744742615,0.15,0.0070714824914880296,0.1345242744742615,0.15,0.0070714824914880296,0.1345242744742615,0.15
2,0.11666924389654838,0.0017336290879540759,0.11500360740177691,0.11832347653953035,0.11666924389654838,0.11666924389654838,0.08218108908881236,0.08218108908881236,permanent_regime_interp,4,14,14,0.11666924389654838,0.0017336290879540759,0.11500360740177691,0.11832347653953035,0.0017336290879540759,0.11500360740177691,0.11832347653953035,0.0017336290879540759,0.11500360740177691,0.11832347653953035
3,0.0762443574118242,0.000499368175545535,0.07570630386387284,0.07672714921036729,0.0762443574118242,0.0762443574118242,0.05501419213853548,0.05501419213853548,permanent_regime_interp,4,15,15,0.0762443574118242,0.000499368175545535,0.07570630386387284,0.07672714921036729,0.000499368175545535,0.07570630386387284,0.07672714921036729,0.000499368175545535,0.07570630386387284,0.07672714921036729
4,0.06801043845611242,0.0005681209807910315,0.06746821741823136,0.06858339546144196,0.06801043845611242,0.06801043845611242,0.04928838162232625,0.04928838162232625,permanent_regime_interp,4,15,15,0.06801043845611242,0.0005681209807910315,0.06746821741823136,0.06858339546144196,0.0005681209807910315,0.06746821741823136,0.06858339546144196,0.0005681209807910315,0.06746821741823136,0.06858339546144196
