phase,simulate_depth_rows,sampled_circuit_shots,dem_cache_miss_rows,dem_cache_hit_rows,mean_active_noise_locations,mean_circuit_operations,simulator_seconds,dem_compile_seconds,dem_sample_seconds,unpack_seconds,record_seconds,total_seconds
LRB,40500,4050000000.0,4050,36450,1293.4133333333334,2286.9333333333334,112208.226487283,10805.447672622,101401.301642835,3842.904115158,106.657614806,116160.125417029
LRB_const0,40500,4050000000.0,4050,36450,399.90222222222224,876.9333333333333,21422.940830954,421.250078205,21000.76136927,197.844295688,89.571352358,21711.322698033
RB,4050,40500000.0,4050,0,103.01234567901234,222.74074074074073,116.252949714,49.65461323,66.478994279,0.0,0.0,116.737642603
