p,lambda,lrb_lambda,rb_p,p_raw,lrb_fidelity,lrb_error_rate,rb_fidelity,rb_error_rate,lrb_f,rb_f,lrb_a,rb_a,lrb_n_points,rb_n_points,lrb_error_rate_std_boot,lrb_error_rate_ci_low,lrb_error_rate_ci_high,rb_error_rate_std_boot,rb_error_rate_ci_low,rb_error_rate_ci_high
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,9,9,1.311171857736797e-08,0.0,3.333333298272123e-08,0.261035429046315,6.66598555283837e-06,0.6666665916666674
0.0005,0.0005,0.0005,0.0005,0.0001,0.999998708000013,1.2919999869964727e-06,0.9996154774915201,0.0003845225084798676,0.9999980620000194,0.9994232162372804,0.0,0.0,9,9,1.8364239144835382e-07,1.116499988795816e-06,1.461999985408191e-06,0.0016377417390153652,4.785440521888339e-06,0.0033301477946985937
0.001,0.001,0.001,0.001,0.0002,0.9999922671034106,7.732896589396354e-06,0.9992378216876219,0.0007621783123781256,0.999988400655116,0.9988567325314327,0.0,0.0,9,9,2.868093946403667e-07,7.436629925638982e-06,8.031519919682317e-06,0.0005866886226346336,3.4505004314899774e-06,0.000482214256471294
0.0025,0.0025,0.0025,0.0025,0.0005,0.999948968483802,5.103151619800794e-05,0.9981082196189179,0.0018917803810820644,0.9999234527257029,0.9971623294283768,0.0,0.0,9,9,6.077000661736854e-07,5.04156715658155e-05,5.157909610919997e-05,0.001484954986083185,0.0003829364149586345,0.003688768498445616
0.005,0.005,0.005,0.005,0.001,0.9997806912388181,0.00021930876118192444,0.9961231772387683,0.003876822761231691,0.9996710368582271,0.9941847658581524,0.0,0.0,9,9,1.6407533351453945e-06,0.00021775855372252462,0.0002210579887894637,0.000995381162260904,4.81381627070121e-06,0.0020966159022338584
0.01,0.01,0.01,0.01,0.002,0.9989721974769447,0.0010278025230553434,0.9922621974107114,0.007737802589288578,0.998458296215417,0.988393296116067,0.0,0.0,9,9,6.127247892483908e-06,0.001021863555114617,0.0010337030292630134,0.001371250853409402,0.0025358219906417867,0.005347931879320687
0.025,0.025,0.025,0.025,0.005,0.9908634014246992,0.009136598575300803,0.9814065495192678,0.018593450480732243,0.9862951021370489,0.9721098242789018,0.0,0.0,9,9,5.730650521049243e-05,0.00907813548255202,0.009192145188078506,0.001269454526192634,0.018007841206588337,0.020583460380832027
0.0375,0.0375,0.0375,0.0375,0.0075,0.9741115282588847,0.025888471741115304,0.9722833576104998,0.027716642389500223,0.9611672923883271,0.9584250364157496,0.0,0.0,9,9,0.00014310143555506147,0.025751766409149,0.026021229713120993,0.00133318648259931,0.026856046451439453,0.029259939547400714
0.05,0.05,0.05,0.05,0.01,0.9447413205525867,0.05525867944741325,0.9622880910437858,0.037711908956214235,0.9171119808288801,0.9434321365656786,0.0,0.0,8,9,0.00027992724554757714,0.054976318916903584,0.05553704269796292,0.001249015109978936,0.03367831976988352,0.0360911603857551
0.0625,0.0625,0.0625,0.0625,0.0125,0.8961744010382559,0.10382559896174415,0.9545611524543883,0.04543884754561167,0.8442616015573838,0.9318417286815827,0.0,0.0,8,9,0.00045921119031223137,0.10337049496629509,0.10425260695747404,0.0011969782734138382,0.045621819383781806,0.0479966958400331
0.075,0.075,0.075,0.075,0.015,0.832798401672016,0.16720159832798398,0.9458287845417122,0.05417121545828785,0.7491976025080239,0.9187431768125683,0.0,0.0,7,9,0.0007602481832955488,0.16651869700147975,0.16801900631980993,0.0012414175156680856,0.05375750100909166,0.05627186967728127
0.1,0.1,0.1,0.1,0.02,0.712555736207776,0.287444263792224,0.9288928007110719,0.07110719928892806,0.568833604311664,0.8933392010666079,0.0,0.0,7,9,0.0013789126071167886,0.28602143713978573,0.2887241571127585,0.0012086280874651727,0.0711290872887091,0.07350530059828037
0.15,0.15,0.15,0.15,0.03,0.5955077373782559,0.4044922626217441,0.8956762677099039,0.10432373229009606,0.39326160606738386,0.8435144015648559,0.0,0.0,7,9,0.003055974528273005,0.4015959426507072,0.4077735212555982,0.0013097877721569503,0.1038467829615322,0.10646798826865359
0.2,0.2,0.2,0.2,0.04,0.479091738542416,0.520908261457584,0.867011201329888,0.13298879867011204,0.21863760781362396,0.8005168019948319,0.0,0.0,7,9,0.007565417073349078,0.5129715788702842,0.5279682293869843,0.0015382966235272415,0.13590188664098113,0.1388033479453
0.25,0.25,0.25,0.25,0.05,0.45944587207220794,0.5405541279277921,0.8446202682204641,0.1553797317795359,0.18916880810831196,0.7669304023306961,0.0,0.0,7,9,0.005764862952487074,0.5349445706505541,0.5457444852092217,0.0016519063448638032,0.16795214765381192,0.171146131621872
