p,lambda,lrb_lambda,rb_p,p_raw,lrb_fidelity,lrb_error_rate,rb_fidelity,rb_error_rate,lrb_f,rb_f,lrb_a,rb_a,lrb_n_points,rb_n_points,lrb_error_rate_std_boot,lrb_error_rate_ci_low,lrb_error_rate_ci_high,rb_error_rate_std_boot,rb_error_rate_ci_low,rb_error_rate_ci_high
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,9,9,1.2154098394404005e-08,0.0,0.0,0.261035429046315,6.66598555283837e-06,0.6666665916666674
0.0005,0.0005,0.0005,0.0005,0.0001,0.9999977462875226,2.253712477418013e-06,0.9996154774915201,0.0003845225084798676,0.9999966194312838,0.9994232162372804,0.0,0.0,9,9,1.9094713348790755e-07,2.0357949797045194e-06,2.4270749756638565e-06,0.0016377417390153652,4.785440521888339e-06,0.0033301477946985937
0.001,0.001,0.001,0.001,0.0002,0.9999884807651153,1.1519234884738161e-05,0.9992378216876219,0.0007621783123781256,0.9999827211476728,0.9988567325314327,0.0,0.0,9,9,3.048413171033004e-07,1.1233512387520683e-05,1.1825199881854154e-05,0.0005866886226346336,3.4505004314899774e-06,0.000482214256471294
0.0025,0.0025,0.0025,0.0025,0.0005,0.9999224458041089,7.755419589106083e-05,0.9981082196189179,0.0018917803810820644,0.9998836687061633,0.9971623294283768,0.0,0.0,9,9,7.566719692678326e-07,7.672835256611332e-05,7.830496255023522e-05,0.001484954986083185,0.0003829364149586345,0.003688768498445616
0.005,0.005,0.005,0.005,0.001,0.9996668065745821,0.0003331934254179325,0.9961231772387683,0.003876822761231691,0.9995002098618729,0.9941847658581524,0.0,0.0,9,9,2.1246960290166155e-06,0.0003311332256886734,0.00033537251664628176,0.000995381162260904,4.81381627070121e-06,0.0020966159022338584
0.01,0.01,0.01,0.01,0.002,0.9985847840141521,0.0014152159858479285,0.9922621974107114,0.007737802589288578,0.9978771760212283,0.988393296116067,0.0,0.0,9,9,7.499501925737367e-06,0.0014078930659211508,0.0014233057553669813,0.001371250853409402,0.0025358219906417867,0.005347931879320687
0.025,0.025,0.025,0.025,0.005,0.9867094401329055,0.013290559867094487,0.9814065495192678,0.018593450480732243,0.9800641601993584,0.9721098242789018,0.0,0.0,9,9,5.361899260717334e-05,0.013243199867567945,0.013345971066540261,0.001269454526192634,0.018007841206588337,0.020583460380832027
0.0375,0.0375,0.0375,0.0375,0.0075,0.9411613592550531,0.058838640744946935,0.9722833576104998,0.027716642389500223,0.9117420388825795,0.9584250364157496,0.0,0.0,9,9,9.828602888381754e-05,0.058747161865861826,0.05894076250392573,0.00133318648259931,0.026856046451439453,0.029259939547400714
0.05,0.05,0.05,0.05,0.01,0.8959088010409119,0.10409119895908814,0.9622880910437858,0.037711908956214235,0.8438632015613678,0.9434321365656786,0.0,0.0,9,9,0.00020022231796830683,0.10387895362787712,0.10427741762389249,0.001249015109978936,0.03367831976988352,0.0360911603857551
0.0625,0.0625,0.0625,0.0625,0.0125,0.8558981347743518,0.14410186522564816,0.9545611524543883,0.04543884754561167,0.7838472021615278,0.9318417286815827,0.0,0.0,9,9,0.00034040502250314513,0.14378999322876684,0.14440533188928006,0.0011969782734138382,0.045621819383781806,0.0479966958400331
0.075,0.075,0.075,0.075,0.015,0.813793068528736,0.186206931471264,0.9458287845417122,0.05417121545828785,0.7206896027931039,0.9187431768125683,0.0,0.0,9,9,0.0006066337979636711,0.18563603014363977,0.18683696879829698,0.0012414175156680856,0.05375750100909166,0.05627186967728127
0.1,0.1,0.1,0.1,0.02,0.71370933619624,0.28629066380376,0.9288928007110719,0.07110719928892806,0.5705640042943599,0.8933392010666079,0.0,0.0,9,9,0.001394686059807739,0.2847098851529011,0.28753525045798084,0.0012086280874651727,0.0711290872887091,0.07350530059828037
0.15,0.15,0.15,0.15,0.03,0.5957722707089439,0.4042277292910561,0.8956762677099039,0.10432373229009606,0.3936584060634159,0.8435144015648559,0.0,0.0,9,9,0.003077246864439065,0.40143965465227005,0.4070932865957339,0.0013097877721569503,0.1038467829615322,0.10646798826865359
0.2,0.2,0.2,0.2,0.04,0.479094938542384,0.5209050614576161,0.867011201329888,0.13298879867011204,0.21864240781357597,0.8005168019948319,0.0,0.0,9,9,0.008119937018514555,0.5130387362029459,0.5298020853686458,0.0015382966235272415,0.13590188664098113,0.1388033479453
0.25,0.25,0.25,0.25,0.05,0.459446938738864,0.540553061261136,0.8446202682204641,0.1553797317795359,0.18917040810829597,0.7669304023306961,0.0,0.0,9,9,0.005256308472511414,0.5354701173119654,0.5458503412081632,0.0016519063448638032,0.16795214765381192,0.171146131621872
