timestamp_utc,backend,phase,event,probability_index,probability,batch_index,batch_shots,shots_remaining_before,shots_remaining_after,clifford_index,depth_index,depth,shots,circuit_dimension,circuit_qudits,circuit_operations,simulator_seconds,dem_compile_seconds,dem_sample_seconds,dem_cache_hit,dem_total_noise_locations,dem_active_noise_locations,dem_detectors,dem_logicals,unpack_seconds,record_seconds,process_seconds,load_seconds,write_seconds,total_seconds,notes
2026-08-08T01:48:25Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,2,2,4,10000,3,1,98,0.014361249,0.004069983,0.010276079,0,48,48,0,1,,,0.000135503,,,0.014503505,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:25Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,2,3,6,10000,3,1,154,0.022573459,0.006125697,0.016434547,0,76,76,0,1,,,0.000135684,,,0.022716186,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:25Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,2,4,10,10000,3,1,238,0.034791280,0.008871138,0.025898372,0,118,118,0,1,,,0.000133039,,,0.034932103,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:25Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,2,5,14,10000,3,1,342,0.051536808,0.015626570,0.035894739,0,170,170,0,1,,,0.000128981,,,0.051674956,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:26Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,2,6,18,10000,3,1,394,0.060029990,0.018352004,0.041659623,0,196,196,0,1,,,0.000153065,,,0.060198415,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:26Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,2,7,20,10000,3,1,446,0.069244801,0.021296628,0.047921033,0,222,222,0,1,,,0.000153477,,,0.069412754,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:26Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,2,8,22,10000,3,1,486,0.072184014,0.022424120,0.049739315,0,242,242,0,1,,,0.000145150,,,0.072340676,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:26Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,3,0,0,10000,3,1,2,0.000349773,0.000313234,0.000017462,0,0,0,0,1,,,0.000115426,,,0.000473143,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:26Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,3,1,2,10000,3,1,26,0.005416885,0.001902859,0.003495570,0,12,12,0,1,,,0.000194253,,,0.005620284,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:26Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,3,2,4,10000,3,1,66,0.013801596,0.004506136,0.009247640,0,32,32,0,1,,,0.000183292,,,0.013999895,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:26Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,3,3,6,10000,3,1,114,0.021511227,0.006672447,0.014820516,0,56,56,0,1,,,0.000202638,,,0.021724024,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:26Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,3,4,10,10000,3,1,198,0.038235676,0.010348445,0.027866052,0,98,98,0,1,,,0.000179785,,,0.038429507,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:26Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,3,5,14,10000,3,1,274,0.054412091,0.016543150,0.037843243,0,136,136,0,1,,,0.000176038,,,0.054601494,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:26Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,3,6,18,10000,3,1,366,0.072251519,0.021516487,0.050709945,0,182,182,0,1,,,0.000265746,,,0.072540810,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:26Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,3,7,20,10000,3,1,422,0.101384904,0.036959955,0.064393130,0,210,210,0,1,,,0.000204873,,,0.101612059,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:26Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,3,8,22,10000,3,1,462,0.090842650,0.027827660,0.062987979,0,230,230,0,1,,,0.000170849,,,0.091029769,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:26Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,4,0,0,10000,3,1,2,0.000394526,0.000348300,0.000018124,0,0,0,0,1,,,0.000123500,,,0.000526783,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:26Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,4,1,2,10000,3,1,50,0.010203924,0.003001800,0.007183319,0,24,24,0,1,,,0.000167954,,,0.010381165,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:26Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,4,2,4,10000,3,1,90,0.017307265,0.004930267,0.012344026,0,44,44,0,1,,,0.000179545,,,0.017495627,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:26Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,4,3,6,10000,3,1,126,0.024791036,0.006890093,0.017883220,0,62,62,0,1,,,0.000176810,,,0.024977062,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:26Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,4,4,10,10000,3,1,222,0.040610496,0.011097733,0.029494820,0,110,110,0,1,,,0.000162223,,,0.040785192,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:26Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,4,5,14,10000,3,1,306,0.060961208,0.018867605,0.042069126,0,152,152,0,1,,,0.000186659,,,0.061164938,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:26Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,4,6,18,10000,3,1,402,0.085186539,0.026889410,0.058262153,0,200,200,0,1,,,0.000182481,,,0.085389568,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:26Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,4,7,20,10000,3,1,450,0.088841265,0.026760970,0.062041533,0,224,224,0,1,,,0.000267459,,,0.089130645,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:27Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,4,8,22,10000,3,1,478,0.100550298,0.034192694,0.066304266,0,238,238,0,1,,,0.000177090,,,0.100748348,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:27Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,5,0,0,10000,3,1,2,0.000519599,0.000472572,0.000019166,0,0,0,0,1,,,0.000150160,,,0.000679267,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:27Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,5,1,2,10000,3,1,42,0.007933410,0.002699897,0.005202325,0,20,20,0,1,,,0.000148527,,,0.008091074,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:27Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,5,2,4,10000,3,1,70,0.013603035,0.003929219,0.009650753,0,34,34,0,1,,,0.000182020,,,0.013796486,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:27Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,5,3,6,10000,3,1,102,0.019752085,0.005713578,0.014015104,0,50,50,0,1,,,0.000205473,,,0.019967898,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:27Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,5,4,10,10000,3,1,190,0.035176078,0.009898165,0.025257326,0,94,94,0,1,,,0.000178082,,,0.035364199,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:27Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,5,5,14,10000,3,1,250,0.047437891,0.013778081,0.033638520,0,124,124,0,1,,,0.000166370,,,0.047615273,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:27Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,5,6,18,10000,3,1,318,0.061661494,0.019497611,0.042145008,0,158,158,0,1,,,0.000164978,,,0.061837603,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:27Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,5,7,20,10000,3,1,342,0.066946422,0.020114140,0.046811974,0,170,170,0,1,,,0.000180016,,,0.067138080,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:27Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,5,8,22,10000,3,1,370,0.073435598,0.022209670,0.051201853,0,184,184,0,1,,,0.000190706,,,0.073649888,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:27Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,6,0,0,10000,3,1,2,0.000348590,0.000310760,0.000019085,0,0,0,0,1,,,0.000158015,,,0.000515843,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:27Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,6,1,2,10000,3,1,50,0.010649586,0.003311588,0.007318843,0,24,24,0,1,,,0.000182110,,,0.010852445,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:27Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,6,2,4,10000,3,1,74,0.014585578,0.004439912,0.010128234,0,36,36,0,1,,,0.000190866,,,0.014784730,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:27Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,6,3,6,10000,3,1,110,0.019617835,0.005713248,0.013886284,0,54,54,0,1,,,0.000206996,,,0.019834089,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:27Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,6,4,10,10000,3,1,186,0.035497338,0.009693432,0.025785071,0,92,92,0,1,,,0.000172141,,,0.035678876,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:27Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,6,5,14,10000,3,1,254,0.047632655,0.012819023,0.034795869,0,126,126,0,1,,,0.000180226,,,0.047822208,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:27Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,6,6,18,10000,3,1,322,0.062591930,0.018576963,0.043997033,0,160,160,0,1,,,0.000176409,,,0.062781264,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:27Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,6,7,20,10000,3,1,350,0.071390994,0.020777258,0.050577108,0,174,174,0,1,,,0.000178052,,,0.071583513,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:27Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,6,8,22,10000,3,1,378,0.073870479,0.022143026,0.051701606,0,188,188,0,1,,,0.000198290,,,0.074086492,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:27Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,7,0,0,10000,3,1,2,0.000455068,0.000406328,0.000021199,0,0,0,0,1,,,0.000147596,,,0.000612833,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:27Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,7,1,2,10000,3,1,54,0.010736028,0.003262606,0.007456450,0,26,26,0,1,,,0.000190135,,,0.010935319,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:27Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,7,2,4,10000,3,1,98,0.019215936,0.005476977,0.013721436,0,48,48,0,1,,,0.000179525,,,0.019404527,simulated_shots=10001;reference_shot_dropped=1
2026-08-08T01:48:27Z,dem,RB_comparison,simulate_depth,14,0.250000000,,10000,,,7,3,6,10000,3,1,138,0.025907238,0.006815174,0.019073580,0,68,68,0,1,,,0.000172912,,,0.026089979,simulated_shots=10001;reference_shot_dropped=1
