p,lrb_fidelity,lrb_error_rate,rb_fidelity,rb_error_rate,lrb_f,rb_f,lrb_a,rb_a,lrb_n_points,rb_n_points
3.35981829e-05,0.9999969476808942,3.052319105800727e-06,0.9999994065913054,5.934086946268735e-07,0.9999954215213414,0.9999991098869581,0.0,-38.350580193489705,9,9
0.000615848211,0.9999426798315545,5.7320168445507136e-05,0.9980582572855013,0.001941742714498651,0.9999140197473319,0.9970873859282521,0.0,0.758463996620828,9,9
0.0112883789,0.9981540026502532,0.0018459973497467752,0.9923692308192819,0.007630769180718144,0.9972310039753797,0.9885538462289227,0.0,-0.0925784362528463,9,9
0.0206130785,0.9950918917314954,0.0049081082685046296,0.9840215189862361,0.015978481013763868,0.9926378375972431,0.9760322784793541,0.0,0.0247956834451255,9,9
0.0233572147,0.9938451078964311,0.006154892103568899,0.9818538950295886,0.01814610497041136,0.9907676618446466,0.972780842544383,0.0,0.026543208281464975,9,9
0.0311537409,0.9891633188834001,0.010836681116599856,0.9766784737997637,0.02332152620023631,0.9837449783251001,0.9650177106996456,0.0,-0.002633971322235074,9,9
0.0362021775,0.9851891936295493,0.014810806370450735,0.9725358258826166,0.027464174117383444,0.977783790444324,0.9588037388239249,0.0,0.006137338210557361,9,9
0.0420687089,0.9794434737444636,0.02055652625553639,0.9687285859587614,0.031271414041238565,0.9691652106166955,0.9530928789381422,0.0,-0.00425712095448797,9,9
0.0483293024,0.9717678938979754,0.028232106102024646,0.9640042393865818,0.03599576061341825,0.957651840846963,0.9460063590798725,0.0,-0.00449215652903413,9,9
0.0547144504,0.9624763020838071,0.03752369791619292,0.9590220608195587,0.04097793918044135,0.9437144531257107,0.9385330912293379,0.0,-0.0007573094470385374,9,9
0.0635808794,0.9459582210808355,0.05404177891916451,0.9523449462864343,0.04765505371356571,0.9189373316212531,0.9285174194296515,0.0,0.001266109526366067,9,9
0.0738841056,0.9193045282805761,0.08069547171942393,0.9444665331106693,0.055533466889330696,0.878956792420864,0.9166997996660039,0.0,0.0014405767137322997,8,9
0.0858569606,0.8785151957630294,0.12148480423697061,0.9352237679621912,0.0647762320378088,0.817772793644544,0.9028356519432867,0.0,0.002408497834239436,7,9
0.0925524149,0.8521119962910934,0.14788800370890665,0.9304170613916586,0.06958293860834142,0.7781679944366401,0.8956255920874879,0.0,0.0017942389785884287,7,9
0.1,0.828531730096032,0.17146826990396802,0.9263258614734827,0.07367413852651727,0.742797595144048,0.889488792210224,0.0,-0.0050413364274142876,6,9
0.143844989,0.6467210670655786,0.35327893293442136,0.8914799955037332,0.10852000449626675,0.47008160059836795,0.8372199932555999,0.0,0.0013671488639012796,6,9
0.206913808,0.4857744036178453,0.5142255963821547,0.843198929802688,0.15680107019731204,0.22866160542676797,0.764798394704032,0.0,0.006299111981087005,6,9
0.335981829,0.41303520507262936,0.5869647949273706,0.7408175985169815,0.2591824014830185,0.119552807608944,0.6112263977754722,0.0,0.007658873869193311,6,9
